density,time
0.011001, 0.002742
0.012002, 0.002876
0.013001, 0.002701
0.014002, 0.002764
0.015001, 0.003362
0.016002, 0.003504
0.017001, 0.002997
0.018002, 0.003901
0.019001, 0.003017
0.020002, 0.003040
0.021001, 0.003145
0.022002, 0.003341
0.023001, 0.003389
0.024002, 0.003775
0.025001, 0.004278
0.026002, 0.003364
0.027001, 0.003577
0.028002, 0.003940
0.029001, 0.003992
0.030002, 0.003416
0.031001, 0.003393
0.032002, 0.004276
0.033001, 0.004017
0.034002, 0.004666
0.035001, 0.003615
0.036000, 0.003898
0.037001, 0.004836
0.038000, 0.004250
0.039001, 0.004581
0.040000, 0.005265
0.041001, 0.004102
0.047001, 0.004727
0.048000, 0.004277
0.049001, 0.005880
0.050000, 0.004009
0.051001, 0.006706
0.052000, 0.005651
0.053001, 0.005218
0.054000, 0.004413
0.055001, 0.006182
0.056000, 0.006947
0.057001, 0.005241
0.058000, 0.009129
0.059001, 0.007759
0.060000, 0.005088
0.061001, 0.006120
0.062000, 0.006513
0.063001, 0.006771
0.064000, 0.005513
0.065001, 0.005120
0.066000, 0.006892
0.067001, 0.005259
0.068000, 0.007077
0.069001, 0.005209
0.070000, 0.005308
0.071001, 0.006509
0.072000, 0.005256
0.073001, 0.006004
0.074000, 0.006236
0.075001, 0.006298
0.076000, 0.006811
0.077001, 0.007894
0.078000, 0.007359
0.079001, 0.006888
0.080000, 0.006942
0.081001, 0.007042
0.082000, 0.007123
0.083001, 0.007988
0.084000, 0.008572
0.085001, 0.007891
0.086000, 0.010695
0.087001, 0.007843
0.088002, 0.010258
0.089001, 0.008089
0.090002, 0.005721
0.091001, 0.006502
0.092002, 0.008305
0.093001, 0.007725
0.094002, 0.007051
0.095001, 0.008111
0.096002, 0.010805
0.097001, 0.009202
0.098002, 0.010038
0.099001, 0.008341
0.100002, 0.008406
0.101001, 0.008520
0.102002, 0.009815
0.103001, 0.008398
0.104002, 0.008769
0.105001, 0.009288
0.106002, 0.009175
0.107001, 0.010061
0.108002, 0.011998
0.109001, 0.011002
0.110002, 0.013875
0.111001, 0.009609
0.112002, 0.010273
0.113001, 0.009247
0.114002, 0.009869
0.115001, 0.008086
0.116002, 0.008297
0.117001, 0.010518
0.118002, 0.011177
0.119001, 0.011400
0.120002, 0.013206
0.121001, 0.011296
0.122002, 0.011293
0.123001, 0.011746
0.125001, 0.011726
0.126002, 0.010013
0.127001, 0.012412
0.128002, 0.013399
0.129001, 0.010339
0.130002, 0.014372
0.131001, 0.011552
0.132002, 0.012187
0.133001, 0.012152
0.134002, 0.016502
0.135001, 0.015577
0.136002, 0.013748
0.137001, 0.014634
0.138002, 0.016141
0.139001, 0.014650
0.140002, 0.012597
0.141001, 0.016305
0.142002, 0.011783
0.143001, 0.013488
0.144002, 0.015143
0.145001, 0.014923
0.146002, 0.015145
0.147001, 0.013641
0.148002, 0.016729
0.149001, 0.016956
0.150002, 0.015399
0.151001, 0.013831
0.152002, 0.012984
0.153001, 0.016324
0.154002, 0.017008
0.155001, 0.013419
0.156002, 0.019788
0.157001, 0.014126
0.158002, 0.017138
0.159001, 0.017529
0.160002, 0.017666
0.161001, 0.014547
0.162002, 0.019779
0.163001, 0.017243
0.164002, 0.016688
0.165001, 0.015339
0.166002, 0.016585
0.167001, 0.016225
0.168002, 0.015737
0.169001, 0.016609
0.170002, 0.014684
0.171001, 0.015039
0.173001, 0.016736
0.174002, 0.014666
0.175001, 0.015412
0.176002, 0.018445
0.177001, 0.016108
0.178002, 0.018067
0.179001, 0.018211
0.180002, 0.016180
0.181001, 0.017694
0.182002, 0.017630
0.183001, 0.015420
0.184002, 0.019551
0.185001, 0.016907
0.186002, 0.024104
0.187001, 0.017630
0.188002, 0.018799
0.189001, 0.019767
0.190002, 0.020465
0.191001, 0.016438
0.192002, 0.017628
0.193001, 0.022543
0.194002, 0.020419
0.195001, 0.017864
0.196002, 0.017783
0.197001, 0.022245
0.198002, 0.021068
0.200002, 0.018986
0.201001, 0.022279
0.202002, 0.022365
0.203001, 0.019433
0.204002, 0.020440
0.205001, 0.019635
0.206002, 0.022503
0.207001, 0.020069
0.208002, 0.021809
0.209001, 0.021395
0.210002, 0.022391
